"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ref_id,new,,text,"Reference Number",,,,,,,,,,,,,"Data Management"
new_record_intro,new,,descriptive,"<div style=""padding: 10px; color: rgb(0, 85, 149);border: 4px solid  rgb(0, 85, 149); background-color:  rgba(0, 85, 149, 0.1)""><span style=""font-family: 'Open Sans'; font-size: 12pt;""><em>You are creating a new record, [record-name].</em></span>

<span style=""font-family: 'Open Sans'; font-size: 12pt;""><em>Please refer to the Project Dashboard, <a href=""[redcap-base-url]redcap/index.php?route=ProjectDashController:view&dash_id=14&pid=[project-id]"">Reference Number Guidance</a>, for help/guidance on naming new records.</em></span>

<span style=""font-family: 'Open Sans'; font-size: 12pt;""><em>To create this record and begin adding data, mark this form as ""Complete"" and save.</em></span></div>",,,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF @SAVEOPTIONS='nextform'"
new_version,new,,dropdown,"Form Version","1.0, 1.0",,,,,,,y,,,,,"Data Management
@HIDDEN @DEFAULT='1.0' @NOMISSING @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET"
new_app_lasteditedby,new,,text,"REDCap Mobile App - Last Edited By",,,,,,,,,,,,,"Data Management
@HIDDEN @HIDDEN-PDF @READONLY @APPUSERNAME-APP"
arm1_site_shortlabel,matdata,,text,"Site Label (shortened)",,,,,,,,y,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET
@CALCTEXT(
if(
find (' (', [record-dag-label]) <> 0,
left([record-dag-label],find (' (', [record-dag-label])-1),
[record-dag-label])
)"
ref_id_arm1_dag_pfx,matdata,,text,"Reference Number - DAG Prefix",,,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF
@CALCTEXT(
if(left([record-dag-label], 2)='' and [matdata_complete] = '',
    left([user-dag-label],2),
    left([record-dag-label],2)
)
)"
ref_id_arm1_pno,matdata,,text,"Reference Number - Participant No",,,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF
@CALCTEXT(
    right([ref_id], 4)
)"
ref_id_arm1_len_valid,matdata,,calc,"Reference Number is a valid length?","if(
    length([ref_id]) = 7,
    1,
    0
)",,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
ref_id_arm1_pfx_valid,matdata,,calc,"Reference Number prefix is valid?","if(
    left([ref_id], 2) = left([record-dag-label], 2),
    1,
    0
)",,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
ref_id_arm1_sp_valid,matdata,,calc,"Reference Number has dash separator between DAG prefix and number?","if(
     mid([ref_id], 3, 1) = '-',
    1,
    0
)",,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
